Precious Metals - Other;;;;AUD-USD;Australian Dollar to US Dollar;;LUACTRUU:IND;Corporate;;IB1 Index;IB1 Index
;XPTUSD Curncy;Platinum Spot;;NZD-USD;New Zealand Dollar to US Dollar;;LUTLTRUU:IND;Long;;KRS1 Index;KRS1 Index
;XPDUSD Curncy;Palladium Spot;;USD-TWD;US Dollar to Taiwan Dollar;;LG24TRJU:IND;Japanese Aggregate;;XMC1 Index;XMC1 Index
Industrial Metals;;;;USD-KRW;US Dollar to South Korean Won;;LG22TRUU:IND;Global Aggregate Ex-JPY;;VE1 Index;VE1 Index
;HG1 Comdty;Copper (Comex);;USD-PHP;US Dollar to Philippine Peso;;LBEATREU:IND;Euro-Aggregate;;A51 Index;A51 Index
;LMCADS03 Comdty;3Mo Copper (LME);;USD-IDR;US Dollar to Indonesian Rupiah;;LECPTREU:IND;Corporates;;AI1 Index;AI1 Index
;LMAHDS03 Comdty;3Mo Aluminum (LME);;USD-INR;US Dollar to Indian Rupee;;LP01TREU:IND;Pan-European High Yield;;XP1 Index;XP1 Index
;LMZSDS03 Comdty;3Mo Zinc (LME);;USD-CNY;US Dollar to Chinese Yuan;;LEF1TREU:IND;EURO FRN Index;;IFB1 Index;IFB1 Index
;LMSNDS03 Comdty;3Mo Tin (LME);;USD-MYR;US Dollar to Malaysian Ringgit;;LEATTREU:IND;Treasury;;XU1 Index;XU1 Index
Agriculture - Grains;;;;USD-THB;US Dollar to Thai Baht;;LC58TRGU:IND;Sterling Aggregate;;HI1 Index;HI1 Index
;C 1 Comdty;Corn (CBOT);;JPY-MYR;Japanese Yen to Malaysian Ringgit;;LSG1TRGU:IND;Gilts;;HC1 Index;HC1 Index
;W 1 Comdty;Wheat (CBOT);;;;;EMLCTRUU:IND;EM Local Currency Govt;;NZ1 Index;NZ1 Index
;O 1 Comdty;Oats (CBOT);;;;;BLXCTREU:IND;Euro Contingent Capital Bond I;;SHY1 Index;SHY1 Index
;RR1 Comdty;Rough Rice (CBOT);;;;;BECLTRUU:IND;EM Local Currency Liquid Gover;;NK1 Index;NK1 Index
;S 1 Comdty;Soybean (CBOT);;;;;LB17TRUU:IND;USHY B RBISUP&regSUP/BS1;;TP1 Index;TP1 Index
;SM1 Comdty;Soybean Meal (CBOT);;;;;BCIW1T:IND;BCIW1T;;CTRN Index;CTRN Index
;BO1 Comdty;Soybean Oil (CBOT);;;;;BCIT1T:IND;BCIT1T;;SML Index;SML Index
;RS1 Comdty;Canola (ICE);;;;;BEIG1T:IND;BEIG1T;;RTY Index;RTY Index
Agriculture - Softs;;;;;;;BEMG0Z:IND;EM Inf Lnkd All Maturit;;NBI Index;NBI Index
;CC1 Comdty;Cocoa (ICE);;;;;BCEE1T:IND;Euro Government;;INDU Index;INDU Index
;KC1 Comdty;Coffee 'C' (ICE);;;;;US gov;;;CBNK Index;CBNK Index
;SB1 Comdty;Sugar #11 (ICE);;;;;GB3:GOV;3 Month Treasury;;BBREIT Index;BBREIT Index
;JO1 Comdty;Orange Juice (ICE);;;;;GB6:GOV;6 Month Treasury;;NYA Index;NYA Index
;CT1 Comdty;Cotton #2 (ICE);;;;;GB12:GOV;12 Month Treasury;;NDX Index;NDX Index
;OL1 Comdty;Wool (ASX);;;;;GT2:GOV;2 Year Treasury;;CFIN Index;CFIN Index
;LB1 Comdty;Lumber (CME);;;;;GT5:GOV;5 Year Treasury;;CINS Index;CINS Index
;OR1 Comdty;Rubber (Singapore);;;;;GT10:GOV;10 Year Treasury;;TRAN Index;TRAN Index
;DL1 Comdty;Ethanol (CBOT);;;;;GT30:GOV;30 Year Treasury;;CUTL Index;CUTL Index
Agriculture - Livestock;;;;;;;GTII5:GOV;5 Year TIPS;;SPX Index;SPX Index
;LC1 Comdty;Live Cattle (CME);;;;;GTII10:GOV;10 Year TIPS;;CCMP Index;CCMP Index
;FC1 Comdty;Feeder Cattle (CME);;;;;GTII20:GOV;20 Year TIPS;;UTIL Index;UTIL Index
;LH1 Comdty;Lean Hogs (CME);;;;;GTII30:GOV;30 Year TIPS;;BKX Index;BKX Index
;;;;;;;FDFD:IND;Fed Funds Rate;;RIY Index;RIY Index
